			Lead Left	Lead Right
-------------------------------------------
DIPS
116.	 110.3 	 C1 - 4.5 mA	 C0 - 3.5 mA 	 (0.85 / 0.30) 
117.	 110.3 	 C1 - 5.5 mA	 C0 - 3.0 mA 	 (0.82 / 0.30) 
118.	 110.3 	 C2 - 5.5 mA	 C1 - 3.0 mA 	 (0.99 / 0.65) 
119.	 110.3 	 C1 - 1.5 mA	 C0 - 3.0 mA 	 (0.98 / 0.30) 
120.	 110.2 	 C1 - 5.0 mA	 C0 - 3.5 mA 	 (0.84 / 0.30) 
121.	 110.1 	 C2 - 5.0 mA	 C1 - 4.5 mA 	 (1.00 / 0.60) 
122.	 110.1 	 C1 - 4.5 mA	 C0 - 3.0 mA 	 (0.85 / 0.30) 
123.	 110.1 	 C3 - 3.5 mA	 C0 - 5.0 mA 	 (1.00 / 0.31) 
124.	 110.1 	 C1 - 1.5 mA	 C0 - 3.5 mA 	 (0.98 / 0.30) 
125.	 110.1 	 C2 - 5.5 mA	 C1 - 5.5 mA 	 (0.99 / 0.58) 
126.	 110.0 	 C1 - 4.0 mA	 C0 - 3.5 mA 	 (0.87 / 0.30) 
127.	 110.0 	 C2 - 5.0 mA	 C1 - 3.5 mA 	 (1.00 / 0.63) 
128.	 109.9 	 C1 - 5.0 mA	 C0 - 3.0 mA 	 (0.84 / 0.30) 
129.	 109.9 	 C1 - 3.5 mA	 C0 - 3.5 mA 	 (0.89 / 0.30) 
130.	 109.8 	 C3 - 3.0 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
131.	 109.8 	 C1 - 4.0 mA	 C0 - 3.0 mA 	 (0.87 / 0.30) 
132.	 109.8 	 C2 - 5.0 mA	 C1 - 4.0 mA 	 (1.00 / 0.61) 
133.	 109.7 	 C2 - 5.5 mA	 C1 - 5.0 mA 	 (0.99 / 0.59) 
134.	 109.7 	 C1 - 3.5 mA	 C0 - 3.0 mA 	 (0.89 / 0.30) 
135.	 109.6 	 C2 - 5.5 mA	 C2 - 1.5 mA 	 (0.99 / 1.00) 
136.	 109.4 	 C1 - 2.0 mA	 C0 - 4.0 mA 	 (0.96 / 0.30) 
137.	 109.4 	 C3 - 4.0 mA	 C0 - 2.5 mA 	 (1.00 / 0.30) 
138.	 109.3 	 C1 - 2.5 mA	 C0 - 4.0 mA 	 (0.94 / 0.30) 
139.	 109.1 	 C2 - 5.5 mA	 C1 - 4.5 mA 	 (0.99 / 0.60) 
140.	 109.1 	 C2 - 1.5 mA	 C0 - 4.0 mA 	 (1.00 / 0.30) 
141.	 109.1 	 C1 - 5.5 mA	 C0 - 4.0 mA 	 (0.82 / 0.30) 
142.	 109.0 	 C1 - 3.0 mA	 C0 - 2.0 mA 	 (0.91 / 0.29) 
143.	 108.9 	 C1 - 1.5 mA	 C0 - 2.0 mA 	 (0.98 / 0.29) 
144.	 108.9 	 C1 - 5.5 mA	 C0 - 2.0 mA 	 (0.82 / 0.29) 
145.	 108.8 	 C2 - 4.5 mA	 C1 - 2.5 mA 	 (1.00 / 0.67) 
146.	 108.7 	 C2 - 5.5 mA	 C1 - 4.0 mA 	 (0.99 / 0.61) 
147.	 108.7 	 C2 - 5.5 mA	 C1 - 3.5 mA 	 (0.99 / 0.63) 
148.	 108.7 	 C1 - 4.5 mA	 C0 - 4.0 mA 	 (0.85 / 0.30) 
149.	 108.6 	 C1 - 5.0 mA	 C0 - 4.0 mA 	 (0.84 / 0.30) 
150.	 108.6 	 C1 - 4.5 mA	 C0 - 2.0 mA 	 (0.85 / 0.29) 
151.	 108.5 	 C1 - 3.0 mA	 C0 - 4.0 mA 	 (0.91 / 0.30) 
152.	 108.4 	 C1 - 5.0 mA	 C0 - 2.0 mA 	 (0.84 / 0.29) 
153.	 108.3 	 C3 - 4.5 mA	 C0 - 3.5 mA 	 (1.00 / 0.30) 
154.	 108.3 	 C1 - 4.0 mA	 C0 - 4.0 mA 	 (0.87 / 0.30) 
155.	 108.2 	 C1 - 5.5 mA	 C0 - 4.5 mA 	 (0.82 / 0.30) 
156.	 108.2 	 C1 - 4.0 mA	 C0 - 2.0 mA 	 (0.87 / 0.29) 
157.	 108.2 	 C2 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.31) 
158.	 108.0 	 C1 - 3.5 mA	 C0 - 2.0 mA 	 (0.89 / 0.29) 
159.	 107.9 	 C2 - 3.0 mA	 C0 - 1.5 mA 	 (1.00 / 0.29) 
160.	 107.9 	 C2 - 4.0 mA	 C1 - 1.5 mA 	 (1.00 / 0.74) 
161.	 107.9 	 C1 - 3.5 mA	 C0 - 4.0 mA 	 (0.89 / 0.30) 
162.	 107.8 	 C1 - 2.5 mA	 C0 - 4.5 mA 	 (0.94 / 0.30) 
163.	 107.7 	 C1 - 5.0 mA	 C0 - 4.5 mA 	 (0.84 / 0.30) 
164.	 107.7 	 C1 - 4.5 mA	 C0 - 4.5 mA 	 (0.85 / 0.30) 
