			3389-Left	3389-Right
-------------------------------------------
DIPS
1.	 61.5 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (0.66 / 0.74) 
no DIPSalt.settings found
-------------------------------------------
220.	 62.4 	 C2 - 5.5 mA	 C1 - 2.0 mA 	 (0.38 / 0.89) 
221.	 62.3 	 C2 - 5.0 mA	 C2 - 1.5 mA 	 (0.38 / 0.82) 
222.	 62.3 	 C2 - 5.5 mA	 C3 - 5.0 mA 	 (0.38 / 0.54) 
223.	 62.2 	 C3 - 5.5 mA	 C2 - 2.0 mA 	 (0.20 / 0.78) 
224.	 62.2 	 C3 - 5.0 mA	 C1 - 2.5 mA 	 (0.20 / 0.85) 
225.	 62.1 	 C2 - 3.5 mA	 C0 - 3.5 mA 	 (0.38 / 0.81) 
226.	 62.1 	 C3 - 3.5 mA	 C3 - 5.5 mA 	 (0.17 / 0.53) 
227.	 62.0 	 C3 - 4.5 mA	 C0 - 2.5 mA 	 (0.18 / 0.86) 
228.	 62.0 	 C2 - 5.0 mA	 C3 - 5.0 mA 	 (0.38 / 0.54) 
229.	 61.9 	 C2 - 2.5 mA	 C3 - 4.5 mA 	 (0.40 / 0.54) 
230.	 61.8 	 C2 - 5.0 mA	 C1 - 2.0 mA 	 (0.38 / 0.89) 
231.	 61.8 	 C2 - 4.0 mA	 C2 - 1.5 mA 	 (0.38 / 0.82) 
232.	 61.8 	 C2 - 5.5 mA	 C3 - 5.5 mA 	 (0.38 / 0.53) 
233.	 61.7 	 C3 - 4.0 mA	 C2 - 2.0 mA 	 (0.18 / 0.78) 
234.	 61.7 	 C2 - 4.5 mA	 C2 - 1.5 mA 	 (0.38 / 0.82) 
235.	 61.6 	 C2 - 4.0 mA	 C3 - 5.0 mA 	 (0.38 / 0.54) 
236.	 61.5 	 C3 - 2.5 mA	 C0 - 4.5 mA 	 (0.15 / 0.77) 
237.	 61.5 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (0.66 / 0.74) 
238.	 61.5 	 C2 - 4.5 mA	 C3 - 5.0 mA 	 (0.38 / 0.54) 
239.	 61.4 	 C2 - 5.0 mA	 C3 - 5.5 mA 	 (0.38 / 0.53) 
240.	 61.4 	 C2 - 2.0 mA	 C3 - 2.5 mA 	 (0.41 / 0.57) 
241.	 61.3 	 C3 - 5.5 mA	 C0 - 2.5 mA 	 (0.20 / 0.86) 
242.	 61.3 	 C2 - 5.5 mA	 C0 - 2.0 mA 	 (0.38 / 0.90) 
243.	 61.3 	 C3 - 4.0 mA	 C1 - 3.0 mA 	 (0.18 / 0.82) 
244.	 61.3 	 C3 - 5.0 mA	 C0 - 3.0 mA 	 (0.20 / 0.83) 
245.	 61.2 	 C3 - 1.5 mA	 C0 - 5.0 mA 	 (0.12 / 0.75) 
246.	 61.1 	 C2 - 5.5 mA	 C0 - 3.0 mA 	 (0.38 / 0.83) 
247.	 61.1 	 C2 - 3.5 mA	 C3 - 5.0 mA 	 (0.38 / 0.54) 
248.	 61.0 	 C2 - 3.0 mA	 C1 - 1.5 mA 	 (0.39 / 0.94) 
249.	 61.0 	 C2 - 4.0 mA	 C1 - 2.0 mA 	 (0.38 / 0.89) 
250.	 61.0 	 C2 - 4.0 mA	 C3 - 5.5 mA 	 (0.38 / 0.53) 
251.	 61.0 	 C2 - 3.5 mA	 C2 - 1.5 mA 	 (0.38 / 0.82) 
252.	 60.9 	 C2 - 4.5 mA	 C1 - 2.0 mA 	 (0.38 / 0.89) 
253.	 60.9 	 C2 - 4.5 mA	 C3 - 5.5 mA 	 (0.38 / 0.53) 
254.	 60.9 	 C3 - 2.5 mA	 C3 - 4.5 mA 	 (0.15 / 0.54) 
255.	 60.9 	 C2 - 2.0 mA	 C0 - 4.5 mA 	 (0.41 / 0.77) 
256.	 60.7 	 C2 - 2.5 mA	 C0 - 4.0 mA 	 (0.40 / 0.79) 
257.	 60.6 	 C2 - 2.5 mA	 C3 - 2.0 mA 	 (0.40 / 0.59) 
258.	 60.5 	 C2 - 3.0 mA	 C0 - 3.5 mA 	 (0.39 / 0.81) 
259.	 60.4 	 C2 - 3.5 mA	 C3 - 5.5 mA 	 (0.38 / 0.53) 
260.	 60.4 	 C2 - 5.0 mA	 C0 - 2.0 mA 	 (0.38 / 0.90) 
261.	 60.4 	 C2 - 5.5 mA	 C1 - 2.5 mA 	 (0.38 / 0.85) 
262.	 60.3 	 C2 - 3.0 mA	 C3 - 5.0 mA 	 (0.39 / 0.54) 
263.	 60.3 	 C1 - 2.0 mA	 C0 - 5.5 mA 	 (0.63 / 0.74) 
