			3387-Left	3387-Right
-------------------------------------------
DIPS
191.	 82.7 	 C2 - 3.5 mA	 C0 - 3.5 mA 	 (0.83 / 0.28) 
192.	 82.5 	 C2 - 1.5 mA	 C0 - 1.5 mA 	 (0.98 / 0.23) 
193.	 82.4 	 C1 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 0.28) 
194.	 82.4 	 C1 - 1.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.28) 
195.	 82.3 	 C2 - 3.5 mA	 C0 - 4.0 mA 	 (0.83 / 0.28) 
196.	 82.0 	 C3 - 5.0 mA	 C0 - 2.5 mA 	 (0.31 / 0.25) 
197.	 82.0 	 C2 - 3.5 mA	 C0 - 3.0 mA 	 (0.83 / 0.27) 
198.	 82.0 	 C2 - 3.0 mA	 C0 - 2.0 mA 	 (0.86 / 0.24) 
199.	 82.0 	 C1 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.28) 
200.	 81.9 	 C3 - 5.5 mA	 C0 - 3.0 mA 	 (0.31 / 0.27) 
201.	 81.9 	 C1 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 0.27) 
202.	 81.8 	 C2 - 3.5 mA	 C0 - 4.5 mA 	 (0.83 / 0.28) 
203.	 81.8 	 C2 - 3.5 mA	 C0 - 5.0 mA 	 (0.83 / 0.28) 
204.	 81.6 	 C1 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 0.28) 
205.	 81.5 	 C1 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.28) 
206.	 81.4 	 C2 - 3.5 mA	 C0 - 5.5 mA 	 (0.83 / 0.28) 
207.	 81.2 	 C1 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.28) 
208.	 81.1 	 C1 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 0.25) 
209.	 81.1 	 C2 - 3.5 mA	 C0 - 2.5 mA 	 (0.83 / 0.25) 
210.	 81.1 	 C1 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 0.24) 
211.	 80.6 	 C0 - 5.5 mA	 C1 - 4.0 mA 	 (0.98 / 0.63) 
212.	 80.6 	 C0 - 5.0 mA	 C1 - 4.0 mA 	 (0.98 / 0.63) 
213.	 80.6 	 C0 - 5.5 mA	 C1 - 4.5 mA 	 (0.98 / 0.63) 
214.	 80.6 	 C0 - 5.0 mA	 C1 - 4.5 mA 	 (0.98 / 0.63) 
215.	 80.4 	 C0 - 5.5 mA	 C1 - 5.0 mA 	 (0.98 / 0.61) 
216.	 80.4 	 C0 - 5.0 mA	 C1 - 5.0 mA 	 (0.98 / 0.61) 
217.	 80.3 	 C0 - 5.5 mA	 C1 - 5.5 mA 	 (0.98 / 0.60) 
218.	 80.3 	 C0 - 5.0 mA	 C1 - 5.5 mA 	 (0.98 / 0.60) 
219.	 80.2 	 C1 - 2.5 mA	 C0 - 3.5 mA 	 (1.00 / 0.28) 
220.	 80.2 	 C0 - 3.5 mA	 C1 - 4.0 mA 	 (1.00 / 0.63) 
221.	 80.2 	 C0 - 3.5 mA	 C1 - 4.5 mA 	 (1.00 / 0.63) 
