			3387-Left	3387-Right
-------------------------------------------
DIPS
149.	 83.6 	 C0 - 1.5 mA	 C2 - 2.0 mA 	 (0.90 / 1.00) 
150.	 83.5 	 C0 - 4.0 mA	 C1 - 4.0 mA 	 (0.78 / 0.99) 
151.	 83.5 	 C0 - 2.0 mA	 C2 - 4.0 mA 	 (0.86 / 1.00) 
152.	 83.5 	 C1 - 2.5 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
153.	 83.4 	 C1 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 0.53) 
154.	 83.4 	 C0 - 1.5 mA	 C2 - 3.5 mA 	 (0.90 / 1.00) 
155.	 83.4 	 C0 - 3.5 mA	 C1 - 5.5 mA 	 (0.80 / 0.96) 
156.	 83.3 	 C1 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 0.55) 
157.	 83.2 	 C1 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 0.56) 
158.	 83.2 	 C1 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.52) 
159.	 83.2 	 C1 - 4.5 mA	 C1 - 5.0 mA 	 (0.95 / 0.97) 
160.	 83.2 	 C0 - 4.0 mA	 C1 - 3.5 mA 	 (0.78 / 1.00) 
161.	 83.0 	 C0 - 4.5 mA	 C2 - 5.5 mA 	 (0.77 / 1.00) 
162.	 82.9 	 C0 - 3.0 mA	 C2 - 4.5 mA 	 (0.82 / 1.00) 
163.	 82.9 	 C1 - 4.5 mA	 C1 - 5.5 mA 	 (0.95 / 0.96) 
164.	 82.8 	 C1 - 3.0 mA	 C2 - 3.5 mA 	 (0.98 / 1.00) 
165.	 82.8 	 C1 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 0.58) 
166.	 82.7 	 C1 - 4.0 mA	 C2 - 5.0 mA 	 (0.96 / 1.00) 
167.	 82.7 	 C1 - 2.5 mA	 C2 - 2.0 mA 	 (0.99 / 1.00) 
168.	 82.6 	 C1 - 4.5 mA	 C2 - 5.5 mA 	 (0.95 / 1.00) 
