			Lead Left	Lead Right
-------------------------------------------
DIPS
188.	 77.6 	 C1 - 5.0 mA	 C1 - 2.5 mA 	 (0.87 / 1.00) 
189.	 77.6 	 C1 - 5.0 mA	 C0 - 5.5 mA 	 (0.87 / 0.94) 
190.	 77.6 	 C1 - 3.5 mA	 C2 - 2.5 mA 	 (0.93 / 0.95) 
191.	 77.6 	 C0 - 3.5 mA	 C2 - 3.5 mA 	 (0.63 / 0.89) 
192.	 77.5 	 C0 - 5.5 mA	 C0 - 5.5 mA 	 (0.58 / 0.94) 
193.	 77.5 	 C0 - 5.5 mA	 C1 - 2.5 mA 	 (0.58 / 1.00) 
194.	 77.4 	 C0 - 4.0 mA	 C0 - 5.5 mA 	 (0.61 / 0.94) 
195.	 77.4 	 C0 - 4.0 mA	 C1 - 2.5 mA 	 (0.61 / 1.00) 
196.	 77.3 	 C0 - 5.0 mA	 C0 - 5.5 mA 	 (0.59 / 0.94) 
197.	 77.3 	 C0 - 4.5 mA	 C0 - 5.5 mA 	 (0.60 / 0.94) 
198.	 77.3 	 C0 - 2.5 mA	 C3 - 3.0 mA 	 (0.66 / 0.64) 
199.	 77.3 	 C1 - 3.0 mA	 C3 - 2.0 mA 	 (0.95 / 0.69) 
200.	 77.3 	 C0 - 2.0 mA	 C3 - 3.0 mA 	 (0.69 / 0.64) 
201.	 77.3 	 C0 - 5.0 mA	 C1 - 2.5 mA 	 (0.59 / 1.00) 
202.	 77.3 	 C1 - 5.5 mA	 C0 - 2.5 mA 	 (0.85 / 1.00) 
203.	 77.3 	 C0 - 4.5 mA	 C1 - 2.5 mA 	 (0.60 / 1.00) 
204.	 77.3 	 C1 - 5.5 mA	 C3 - 3.5 mA 	 (0.85 / 0.62) 
205.	 77.2 	 C0 - 3.0 mA	 C3 - 3.0 mA 	 (0.64 / 0.64) 
206.	 77.2 	 C0 - 2.0 mA	 C2 - 3.5 mA 	 (0.69 / 0.89) 
207.	 77.2 	 C0 - 2.5 mA	 C2 - 3.5 mA 	 (0.66 / 0.89) 
208.	 77.2 	 C1 - 4.5 mA	 C3 - 3.0 mA 	 (0.89 / 0.64) 
209.	 77.1 	 C1 - 2.0 mA	 C1 - 2.0 mA 	 (0.98 / 1.00) 
210.	 77.1 	 C1 - 2.5 mA	 C1 - 2.0 mA 	 (0.97 / 1.00) 
211.	 77.1 	 C1 - 3.0 mA	 C2 - 2.5 mA 	 (0.95 / 0.95) 
212.	 77.1 	 C0 - 3.5 mA	 C0 - 5.5 mA 	 (0.63 / 0.94) 
213.	 77.0 	 C0 - 3.0 mA	 C2 - 3.5 mA 	 (0.64 / 0.89) 
214.	 77.0 	 C1 - 5.5 mA	 C0 - 5.0 mA 	 (0.85 / 0.95) 
215.	 77.0 	 C1 - 1.5 mA	 C2 - 2.0 mA 	 (1.00 / 0.98) 
216.	 77.0 	 C0 - 3.5 mA	 C1 - 2.5 mA 	 (0.63 / 1.00) 
217.	 76.9 	 C1 - 5.0 mA	 C0 - 2.5 mA 	 (0.87 / 1.00) 
218.	 76.8 	 C1 - 5.5 mA	 C1 - 3.0 mA 	 (0.85 / 0.99) 
219.	 76.8 	 C1 - 5.0 mA	 C3 - 3.5 mA 	 (0.87 / 0.62) 
220.	 76.8 	 C1 - 4.0 mA	 C3 - 3.0 mA 	 (0.90 / 0.64) 
221.	 76.8 	 C0 - 5.5 mA	 C0 - 2.5 mA 	 (0.58 / 1.00) 
222.	 76.8 	 C0 - 5.5 mA	 C3 - 3.5 mA 	 (0.58 / 0.62) 
223.	 76.7 	 C0 - 2.5 mA	 C0 - 5.5 mA 	 (0.66 / 0.94) 
224.	 76.7 	 C0 - 2.0 mA	 C0 - 5.5 mA 	 (0.69 / 0.94) 
225.	 76.6 	 C1 - 2.5 mA	 C3 - 2.5 mA 	 (0.97 / 0.67) 
226.	 76.6 	 C0 - 3.0 mA	 C0 - 5.5 mA 	 (0.64 / 0.94) 
227.	 76.6 	 C1 - 5.0 mA	 C0 - 5.0 mA 	 (0.87 / 0.95) 
228.	 76.6 	 C1 - 2.5 mA	 C2 - 3.0 mA 	 (0.97 / 0.92) 
229.	 76.6 	 C1 - 2.0 mA	 C3 - 2.5 mA 	 (0.98 / 0.67) 
230.	 76.6 	 C0 - 2.0 mA	 C1 - 2.5 mA 	 (0.69 / 1.00) 
231.	 76.6 	 C0 - 5.5 mA	 C0 - 5.0 mA 	 (0.58 / 0.95) 
232.	 76.6 	 C1 - 4.5 mA	 C2 - 3.5 mA 	 (0.89 / 0.89) 
233.	 76.6 	 C0 - 2.5 mA	 C1 - 2.5 mA 	 (0.66 / 1.00) 
234.	 76.6 	 C0 - 5.0 mA	 C0 - 2.5 mA 	 (0.59 / 1.00) 
235.	 76.5 	 C0 - 4.0 mA	 C0 - 2.5 mA 	 (0.61 / 1.00) 
236.	 76.5 	 C0 - 4.5 mA	 C0 - 2.5 mA 	 (0.60 / 1.00) 
237.	 76.4 	 C0 - 3.0 mA	 C1 - 2.5 mA 	 (0.64 / 1.00) 
238.	 76.4 	 C1 - 2.0 mA	 C2 - 3.0 mA 	 (0.98 / 0.92) 
239.	 76.4 	 C1 - 5.5 mA	 C2 - 4.0 mA 	 (0.85 / 0.86) 
240.	 76.4 	 C0 - 5.0 mA	 C3 - 3.5 mA 	 (0.59 / 0.62) 
241.	 76.4 	 C1 - 3.5 mA	 C1 - 2.0 mA 	 (0.93 / 1.00) 
242.	 76.4 	 C1 - 5.0 mA	 C1 - 3.0 mA 	 (0.87 / 0.99) 
243.	 76.4 	 C0 - 5.5 mA	 C1 - 3.0 mA 	 (0.58 / 0.99) 
244.	 76.4 	 C2 - 5.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
245.	 76.4 	 C0 - 5.0 mA	 C0 - 5.0 mA 	 (0.59 / 0.95) 
246.	 76.4 	 C0 - 4.0 mA	 C0 - 5.0 mA 	 (0.61 / 0.95) 
247.	 76.4 	 C0 - 1.5 mA	 C2 - 3.5 mA 	 (0.73 / 0.89) 
248.	 76.3 	 C0 - 4.5 mA	 C0 - 5.0 mA 	 (0.60 / 0.95) 
249.	 76.3 	 C1 - 2.5 mA	 C0 - 2.0 mA 	 (0.97 / 1.00) 
250.	 76.2 	 C0 - 4.5 mA	 C3 - 3.5 mA 	 (0.60 / 0.62) 
251.	 76.2 	 C1 - 4.0 mA	 C2 - 3.5 mA 	 (0.90 / 0.89) 
252.	 76.2 	 C0 - 4.0 mA	 C3 - 3.5 mA 	 (0.61 / 0.62) 
253.	 76.2 	 C1 - 2.0 mA	 C0 - 2.0 mA 	 (0.98 / 1.00) 
254.	 76.2 	 C1 - 4.5 mA	 C0 - 5.5 mA 	 (0.89 / 0.94) 
255.	 76.2 	 C0 - 5.0 mA	 C1 - 3.0 mA 	 (0.59 / 0.99) 
256.	 76.1 	 C0 - 4.0 mA	 C1 - 3.0 mA 	 (0.61 / 0.99) 
257.	 76.1 	 C0 - 4.5 mA	 C1 - 3.0 mA 	 (0.60 / 0.99) 
