			Lead Left Left_VTA	Lead Right Right_VTA
-------------------------------------------
DIPS
221.	 52.2 	 C1 - 4.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
222.	 52.2 	 C0 - 5.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
223.	 52.1 	 C3 - 5.0 mA	 C0 - 3.0 mA 	 (0.97 / 1.00) 
224.	 52.1 	 C1 - 2.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
225.	 51.9 	 C2 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
226.	 51.9 	 C1 - 4.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
227.	 51.9 	 C2 - 1.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
228.	 51.8 	 C2 - 3.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
229.	 51.7 	 C0 - 1.0 mA	 C2 - 1.0 mA 	 (1.00 / 1.00) 
230.	 51.7 	 C0 - 4.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
231.	 51.4 	 C2 - 4.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.94) 
232.	 51.3 	 C0 - 5.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
233.	 51.3 	 C0 - 4.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
234.	 51.1 	 C1 - 3.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
235.	 51.1 	 C0 - 4.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
236.	 51.1 	 C2 - 5.0 mA	 C3 - 1.0 mA 	 (1.00 / 1.00) 
237.	 51.0 	 C2 - 2.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
238.	 51.0 	 C0 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
239.	 50.9 	 C1 - 5.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
240.	 50.9 	 C3 - 4.0 mA	 C2 - 2.0 mA 	 (0.98 / 1.00) 
241.	 50.8 	 C1 - 2.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
242.	 50.8 	 C3 - 2.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
243.	 50.8 	 C2 - 1.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
244.	 50.7 	 C0 - 5.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
245.	 50.5 	 C2 - 5.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
246.	 50.5 	 C2 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
247.	 50.3 	 C0 - 1.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
248.	 50.3 	 C3 - 3.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
249.	 50.2 	 C1 - 3.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
250.	 50.1 	 C3 - 4.0 mA	 C1 - 2.0 mA 	 (0.98 / 1.00) 
251.	 50.1 	 C0 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
252.	 50.0 	 C0 - 5.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
253.	 49.9 	 C1 - 3.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
254.	 49.9 	 C3 - 5.0 mA	 C0 - 2.0 mA 	 (0.97 / 1.00) 
255.	 49.8 	 C2 - 1.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
256.	 49.6 	 C0 - 5.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
257.	 49.6 	 C3 - 1.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
258.	 49.4 	 C1 - 2.0 mA	 C1 - 1.0 mA 	 (1.00 / 1.00) 
259.	 49.3 	 C1 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
260.	 49.2 	 C0 - 2.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
261.	 49.1 	 C1 - 3.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
262.	 49.0 	 C3 - 1.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
263.	 48.8 	 C2 - 1.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
264.	 48.7 	 C3 - 2.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
265.	 48.6 	 C3 - 3.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
266.	 48.5 	 C1 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
267.	 48.4 	 C1 - 1.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
268.	 48.3 	 C1 - 3.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
269.	 48.3 	 C2 - 5.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.91) 
270.	 48.1 	 C3 - 4.0 mA	 C1 - 5.0 mA 	 (0.98 / 1.00) 
271.	 47.9 	 C1 - 3.0 mA	 C0 - 1.0 mA 	 (1.00 / 1.00) 
272.	 47.5 	 C1 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
273.	 47.5 	 C0 - 1.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
274.	 47.4 	 C2 - 5.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
