			Lead Left DEFAULT	Lead Right DEFAULT
-------------------------------------------
DIPS
124.	 78.5 	 C0 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
125.	 78.4 	 C2 - 4.5 mA	 C0 - 5.0 mA 	 (0.97 / 1.00) 
126.	 78.4 	 C0 - 5.5 mA	 C3 - 3.0 mA 	 (1.00 / 1.00) 
127.	 78.3 	 C1 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
128.	 78.2 	 C2 - 3.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
129.	 78.1 	 C2 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
130.	 78.1 	 C0 - 5.0 mA	 C3 - 3.5 mA 	 (1.00 / 1.00) 
131.	 78.0 	 C1 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
132.	 78.0 	 C0 - 5.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.99) 
133.	 77.9 	 C0 - 5.5 mA	 C3 - 2.5 mA 	 (1.00 / 1.00) 
134.	 77.9 	 C0 - 5.0 mA	 C3 - 4.0 mA 	 (1.00 / 1.00) 
135.	 77.9 	 C0 - 5.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
136.	 77.9 	 C0 - 5.5 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
137.	 77.7 	 C0 - 5.0 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
138.	 77.6 	 C0 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 0.99) 
139.	 77.5 	 C0 - 5.0 mA	 C3 - 3.0 mA 	 (1.00 / 1.00) 
140.	 77.3 	 C0 - 5.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.99) 
141.	 77.2 	 C0 - 3.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
142.	 77.0 	 C3 - 3.0 mA	 C0 - 4.5 mA 	 (0.83 / 1.00) 
143.	 76.9 	 C0 - 5.0 mA	 C3 - 2.5 mA 	 (1.00 / 1.00) 
144.	 76.9 	 C2 - 4.0 mA	 C0 - 3.5 mA 	 (0.98 / 1.00) 
145.	 76.8 	 C2 - 5.0 mA	 C0 - 5.5 mA 	 (0.96 / 0.99) 
146.	 76.8 	 C2 - 4.5 mA	 C0 - 4.5 mA 	 (0.97 / 1.00) 
147.	 76.8 	 C0 - 5.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
148.	 76.8 	 C0 - 5.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
149.	 76.6 	 C0 - 5.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
150.	 76.6 	 C0 - 5.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.98) 
151.	 76.5 	 C1 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
152.	 76.4 	 C3 - 1.5 mA	 C3 - 4.0 mA 	 (0.93 / 1.00) 
153.	 76.4 	 C3 - 1.5 mA	 C3 - 3.5 mA 	 (0.93 / 1.00) 
154.	 76.1 	 C1 - 5.5 mA	 C3 - 4.0 mA 	 (1.00 / 1.00) 
155.	 76.0 	 C1 - 5.5 mA	 C3 - 3.5 mA 	 (1.00 / 1.00) 
156.	 76.0 	 C1 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
157.	 75.9 	 C1 - 5.0 mA	 C3 - 4.0 mA 	 (1.00 / 1.00) 
158.	 75.9 	 C1 - 4.0 mA	 C3 - 4.0 mA 	 (1.00 / 1.00) 
159.	 75.9 	 C1 - 5.0 mA	 C3 - 3.5 mA 	 (1.00 / 1.00) 
160.	 75.9 	 C1 - 4.0 mA	 C3 - 3.5 mA 	 (1.00 / 1.00) 
161.	 75.9 	 C1 - 4.5 mA	 C3 - 4.0 mA 	 (1.00 / 1.00) 
162.	 75.9 	 C3 - 1.5 mA	 C3 - 4.5 mA 	 (0.93 / 0.99) 
163.	 75.9 	 C1 - 4.5 mA	 C3 - 3.5 mA 	 (1.00 / 1.00) 
164.	 75.8 	 C0 - 5.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.98) 
165.	 75.8 	 C0 - 5.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
166.	 75.8 	 C3 - 3.0 mA	 C0 - 4.0 mA 	 (0.83 / 1.00) 
167.	 75.7 	 C2 - 5.0 mA	 C0 - 5.0 mA 	 (0.96 / 1.00) 
168.	 75.7 	 C0 - 5.0 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
169.	 75.6 	 C3 - 1.5 mA	 C3 - 3.0 mA 	 (0.93 / 1.00) 
170.	 75.6 	 C1 - 5.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.99) 
171.	 75.6 	 C0 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
172.	 75.5 	 C3 - 2.0 mA	 C0 - 2.5 mA 	 (0.88 / 1.00) 
173.	 75.5 	 C2 - 4.5 mA	 C0 - 4.0 mA 	 (0.97 / 1.00) 
174.	 75.5 	 C1 - 5.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.99) 
175.	 75.4 	 C3 - 3.5 mA	 C0 - 5.5 mA 	 (0.81 / 0.99) 
176.	 75.4 	 C1 - 4.5 mA	 C3 - 4.5 mA 	 (1.00 / 0.99) 
177.	 75.4 	 C1 - 5.5 mA	 C3 - 3.0 mA 	 (1.00 / 1.00) 
178.	 75.4 	 C1 - 4.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.99) 
179.	 75.4 	 C0 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
180.	 75.3 	 C3 - 1.5 mA	 C0 - 1.5 mA 	 (0.93 / 1.00) 
181.	 75.2 	 C2 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
182.	 75.2 	 C1 - 5.0 mA	 C3 - 3.0 mA 	 (1.00 / 1.00) 
183.	 75.1 	 C0 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
184.	 75.1 	 C1 - 4.5 mA	 C3 - 3.0 mA 	 (1.00 / 1.00) 
185.	 75.1 	 C0 - 5.5 mA	 C3 - 5.5 mA 	 (1.00 / 0.98) 
186.	 75.1 	 C0 - 5.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
187.	 75.0 	 C3 - 2.5 mA	 C0 - 3.0 mA 	 (0.85 / 1.00) 
188.	 75.0 	 C3 - 1.5 mA	 C3 - 1.5 mA 	 (0.93 / 1.00) 
189.	 75.0 	 C1 - 4.0 mA	 C3 - 3.0 mA 	 (1.00 / 1.00) 
190.	 75.0 	 C3 - 1.5 mA	 C2 - 5.5 mA 	 (0.93 / 1.00) 
191.	 74.9 	 C3 - 1.5 mA	 C3 - 2.5 mA 	 (0.93 / 1.00) 
192.	 74.8 	 C1 - 5.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
193.	 74.8 	 C1 - 5.5 mA	 C3 - 2.5 mA 	 (1.00 / 1.00) 
194.	 74.7 	 C3 - 1.5 mA	 C3 - 5.0 mA 	 (0.93 / 0.98) 
195.	 74.6 	 C0 - 4.5 mA	 C3 - 4.0 mA 	 (1.00 / 1.00) 
196.	 74.6 	 C3 - 1.5 mA	 C0 - 2.0 mA 	 (0.93 / 1.00) 
197.	 74.5 	 C0 - 5.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
198.	 74.5 	 C1 - 5.5 mA	 C3 - 5.0 mA 	 (1.00 / 0.98) 
