			Lead Left	Lead Right
-------------------------------------------
DIPS
139.	 96.6 	 C2 - 5.5 mA	 C2 - 4.0 mA 	 (0.79 / 0.39) 
140.	 96.6 	 C1 - 3.5 mA	 C2 - 5.0 mA 	 (0.54 / 0.39) 
141.	 96.6 	 C2 - 5.0 mA	 C2 - 4.0 mA 	 (0.81 / 0.39) 
142.	 96.5 	 C2 - 3.5 mA	 C2 - 5.5 mA 	 (0.88 / 0.39) 
143.	 96.3 	 C1 - 4.0 mA	 C3 - 3.0 mA 	 (0.52 / 0.66) 
144.	 96.3 	 C1 - 4.5 mA	 C3 - 4.0 mA 	 (0.51 / 0.64) 
145.	 96.3 	 C2 - 5.5 mA	 C1 - 4.5 mA 	 (0.79 / 0.15) 
146.	 96.3 	 C1 - 4.0 mA	 C1 - 5.5 mA 	 (0.52 / 0.18) 
147.	 96.2 	 C2 - 5.0 mA	 C1 - 4.5 mA 	 (0.81 / 0.15) 
148.	 96.2 	 C2 - 4.0 mA	 C1 - 5.0 mA 	 (0.86 / 0.17) 
149.	 96.2 	 C2 - 4.0 mA	 C2 - 4.5 mA 	 (0.86 / 0.39) 
150.	 96.2 	 C2 - 4.5 mA	 C3 - 2.5 mA 	 (0.84 / 0.67) 
151.	 96.1 	 C2 - 3.5 mA	 C3 - 2.0 mA 	 (0.88 / 0.69) 
152.	 96.0 	 C1 - 5.0 mA	 C1 - 4.0 mA 	 (0.51 / 0.14) 
153.	 96.0 	 C2 - 4.5 mA	 C2 - 4.0 mA 	 (0.84 / 0.39) 
154.	 96.0 	 C2 - 5.5 mA	 C0 - 4.0 mA 	 (0.79 / 0.02) 
155.	 96.0 	 C1 - 5.5 mA	 C2 - 2.0 mA 	 (0.50 / 0.37) 
156.	 95.9 	 C1 - 4.5 mA	 C3 - 4.5 mA 	 (0.51 / 0.63) 
157.	 95.9 	 C1 - 4.5 mA	 C0 - 1.5 mA 	 (0.51 / 0.00) 
158.	 95.9 	 C1 - 4.5 mA	 C2 - 3.0 mA 	 (0.51 / 0.39) 
159.	 95.9 	 C2 - 5.0 mA	 C0 - 4.0 mA 	 (0.81 / 0.02) 
160.	 95.8 	 C1 - 4.5 mA	 C0 - 2.0 mA 	 (0.51 / 0.00) 
161.	 95.8 	 C2 - 3.0 mA	 C2 - 5.5 mA 	 (0.91 / 0.39) 
162.	 95.7 	 C2 - 2.5 mA	 C1 - 5.0 mA 	 (0.93 / 0.17) 
163.	 95.7 	 C2 - 3.5 mA	 C2 - 5.0 mA 	 (0.88 / 0.39) 
164.	 95.7 	 C2 - 4.0 mA	 C0 - 3.5 mA 	 (0.86 / 0.01) 
165.	 95.6 	 C2 - 3.0 mA	 C3 - 2.0 mA 	 (0.91 / 0.69) 
166.	 95.6 	 C2 - 3.0 mA	 C1 - 5.0 mA 	 (0.91 / 0.17) 
167.	 95.6 	 C1 - 5.0 mA	 C0 - 3.5 mA 	 (0.51 / 0.01) 
168.	 95.5 	 C1 - 3.5 mA	 C3 - 1.5 mA 	 (0.54 / 0.72) 
169.	 95.5 	 C2 - 5.5 mA	 C1 - 4.0 mA 	 (0.79 / 0.14) 
170.	 95.4 	 C1 - 3.5 mA	 C2 - 4.5 mA 	 (0.54 / 0.39) 
171.	 95.4 	 C1 - 5.5 mA	 C0 - 4.0 mA 	 (0.50 / 0.02) 
