			3387-Left	3387-Right
-------------------------------------------
DIPS
1.	 80.4 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (0.78 / 0.78) 
no DIPSalt.settings found
-------------------------------------------
153.	 67.4 	 C0 - 5.5 mA	 C0 - 4.0 mA 	 (0.57 / 0.66) 
154.	 67.4 	 C1 - 4.5 mA	 C0 - 3.0 mA 	 (0.61 / 0.70) 
155.	 67.3 	 C0 - 4.0 mA	 C0 - 3.5 mA 	 (0.59 / 0.68) 
156.	 67.3 	 C1 - 1.5 mA	 C1 - 5.0 mA 	 (0.78 / 0.81) 
157.	 67.3 	 C0 - 3.5 mA	 C0 - 3.5 mA 	 (0.61 / 0.68) 
158.	 67.3 	 C3 - 4.0 mA	 C0 - 2.5 mA 	 (0.07 / 0.71) 
159.	 67.3 	 C0 - 5.5 mA	 C0 - 4.5 mA 	 (0.57 / 0.65) 
160.	 67.3 	 C1 - 2.5 mA	 C1 - 4.5 mA 	 (0.70 / 0.83) 
161.	 67.3 	 C0 - 4.5 mA	 C0 - 3.5 mA 	 (0.59 / 0.68) 
162.	 67.2 	 C1 - 3.0 mA	 C0 - 5.0 mA 	 (0.68 / 0.64) 
163.	 67.2 	 C1 - 3.5 mA	 C0 - 4.0 mA 	 (0.65 / 0.66) 
164.	 67.1 	 C3 - 2.0 mA	 C1 - 5.0 mA 	 (0.01 / 0.81) 
165.	 67.1 	 C1 - 3.0 mA	 C0 - 5.5 mA 	 (0.68 / 0.63) 
166.	 67.1 	 C3 - 3.0 mA	 C1 - 3.0 mA 	 (0.05 / 0.89) 
167.	 67.1 	 C0 - 2.0 mA	 C0 - 3.0 mA 	 (0.64 / 0.70) 
168.	 67.0 	 C1 - 4.0 mA	 C0 - 3.5 mA 	 (0.63 / 0.68) 
169.	 67.0 	 C0 - 5.0 mA	 C0 - 4.0 mA 	 (0.57 / 0.66) 
170.	 67.0 	 C1 - 3.5 mA	 C0 - 4.5 mA 	 (0.65 / 0.65) 
171.	 67.0 	 C1 - 3.0 mA	 C1 - 4.0 mA 	 (0.68 / 0.84) 
172.	 66.9 	 C0 - 3.0 mA	 C0 - 3.5 mA 	 (0.62 / 0.68) 
173.	 66.9 	 C0 - 5.5 mA	 C0 - 5.0 mA 	 (0.57 / 0.64) 
174.	 66.9 	 C0 - 5.0 mA	 C0 - 4.5 mA 	 (0.57 / 0.65) 
175.	 66.9 	 C0 - 5.5 mA	 C0 - 5.5 mA 	 (0.57 / 0.63) 
176.	 66.8 	 C3 - 3.5 mA	 C0 - 3.5 mA 	 (0.06 / 0.68) 
177.	 66.8 	 C0 - 5.5 mA	 C1 - 4.0 mA 	 (0.57 / 0.84) 
178.	 66.7 	 C1 - 2.5 mA	 C1 - 3.0 mA 	 (0.70 / 0.89) 
179.	 66.7 	 C3 - 4.0 mA	 C0 - 1.5 mA 	 (0.07 / 0.78) 
180.	 66.7 	 C1 - 1.5 mA	 C1 - 5.5 mA 	 (0.78 / 0.80) 
